id,text
174,Everybody Plays The Fool - Aaron Neville
175,Fading Like A Flower (EVERY Time You Leave) - Roxette
176,Love Will Never Do (WITHOUT You) - Janet Jackson
177,Rhythm Of My Heart - Rod Stewart
178,The Motown Song - Rod Stewart
179,Justify My Love - Madonna
180,Things That Make You Go Hmmm… - C+C Music Factory
181,Can’t Stop This Thing We Started - Bryan Adams
182,I’ve Been Thinking About You - Londonbeat
183,I Adore Mi Amor - Color Me Badd
184,Love Is A Wonderful Thing - Michael Bolton
185,Too Many Walls - Cathy Dennis
186,"Time, Love And Tenderness - Michael Bolton"
187,Touch Me (ALL Night Long) - Cathy Dennis
188,Every Heartbeat - Amy Grant
189,Here We Go (LET’S Rock N’ Roll) - C+C Music Factory featuring Freedom Williams & Zelma Davis
190,I’m Not In Love - Will to Power
191,Iesha - Another Bad Creation
192,The Promise Of A New Day - Paula Abdul
193,Rico Suave - Gerardo
194,Cry For Help - Rick Astley
195,Because I Love You (THE Postman Song) - Stevie B
196,3 A.M. Eternal - The KLF
197,I’ll Give All My Love To You - Keith Sweat
198,You’re In Love - Wilson Phillips
199,I Can’t Wait Another Minute - Hi-Five
200,The One - Elton John
201,One - U2
202,Stay - Shakespears Sister
203,Under The Bridge - Red Hot Chili Peppers
204,Tennessee - Arrested Development
205,November Rain - Guns N’ Roses
206,Real Love - Mary J. Blige
207,Smells Like Teen Spirit - Nirvana
208,Everything About You - Ugly Kid Joe
209,Jump - Kris Kross
210,Jump Around - House of Pain
211,Please Don’t Go - KWS
212,I Wanna Love You - Jade
213,Life Is A Highway - Tom Cochrane
214,Remember The Time - Michael Jackson
215,All I Want - Toad the Wet Sprocket
216,Bohemian Rhapsody - Queen
217,Erotica - Madonna
218,Masterpiece - Atlantic Starr
219,Rhythm Is A Dancer - Snap!
220,Baby Got Back - Sir Mix-a-Lot
221,Forever Love - Color Me Badd
222,Achy Breaky Heart - Billy Ray Cyrus
223,Black Or White - Michael Jackson
224,Tears In Heaven - Eric Clapton
225,To Be With You - Mr. Big
226,Slow Motion - Color Me Badd
227,When A Man Loves A Woman - Michael Bolton
228,End Of The Road - Boyz II Men
229,Save The Best For Last - Vanessa Williams
230,Would I Lie To You? - Charles & Eddie
231,All 4 Love - Color Me Badd
232,I Can’t Dance - Genesis
233,People Everyday - Arrested Development
234,I’ll Be There - Mariah Carey featuring Trey Lorenz
235,When I Look Into Your Eyes - FireHouse
236,Beauty And The Beast - Celine Dion and Peabo Bryson
237,Breakin’ My Heart (PRETTY Brown Eyes) - Mint Condition
238,Don’t Let The Sun Go Down On Me - George Michael and Elton John
239,I Love Your Smile - Shanice
240,In The Closet - Michael Jackson
241,Make It Happen - Mariah Carey
242,Hazard - Richard Marx
243,Hold On My Heart - Genesis
244,Rump Shaker - Wreckx-N-Effect
245,Wildside - Marky Mark and the Funky Bunch
246,Wishing On A Star - The Cover Girls
247,Finally - CeCe Peniston
248,Free Your Mind - En Vogue
249,Friday I’m In Love - The Cure
250,If You Asked Me To - Celine Dion
251,Just Another Day - Jon Secada
252,No Son Of Mine - Genesis
253,The Best Things In Life Are Free - Luther Vandross and Janet Jackson featuring Bell Biv Devoe and Ralph Tresvant
254,Back To The Hotel - N2Deep
255,Come And Talk To Me - Jodeci
256,Damn I Wish I Was Your Lover - Sophie B. Hawkins
257,Good For Me - Amy Grant
258,Move This - Technotronic featuring Ya Kid K
259,Have You Ever Needed Someone So Bad - Def Leppard
260,Missing You Now - Michael Bolton featuring Kenny G
261,Set Adrift On Memory Bliss - P.M. Dawn
262,Too Funky - George Michael
263,Baby-Baby-Baby - TLC
264,Mysterious Ways - U2
265,This Used To Be My Playground - Madonna
266,2 Legit 2 Quit - Hammer
